File Size (MB),Buffer Size (bytes),Write Time (seconds),Read Time (seconds)
10,8192,0.027934551239013672,0.08477163314819336
50,8192,0.24893569946289062,0.28325796127319336
100,8192,0.566382884979248,0.5091907978057861
500,8192,3.1777408123016357,2.2968807220458984
1024,8192,9.783874750137329,4.619676113128662
3072,8192,77.66779017448425,13.874917984008789
5120,8192,126.72052025794983,23.023447275161743
10240,8192,307.01524925231934,81.21051239967346
10,16384,0.043882131576538086,0.07579231262207031
50,16384,7.108857870101929,0.1775503158569336
100,16384,4.908041715621948,0.3132007122039795
500,16384,14.5359947681427,1.4950504302978516
1024,16384,28.203301429748535,2.9012725353240967
3072,16384,51.42593288421631,8.509231090545654
5120,16384,152.63622331619263,14.488242626190186
10240,16384,373.39376425743103,93.65003967285156
10,32768,0.03494572639465332,0.06481003761291504
50,32768,10.36775827407837,0.14463305473327637
100,32768,4.864267587661743,0.24339962005615234
500,32768,7.322284698486328,0.9883725643157959
1024,32768,27.66057324409485,2.282896041870117
3072,32768,92.75764322280884,5.701780319213867
5120,32768,147.29941606521606,9.94164752960205
10240,32768,355.13569164276123,51.39562129974365
10,65536,0.03589463233947754,0.08477473258972168
50,65536,0.5644800662994385,0.15061521530151367
100,65536,0.7599680423736572,0.2014603614807129
500,65536,17.13730764389038,0.7826414108276367
1024,65536,29.569109678268433,1.5459065437316895
3072,65536,92.41070604324341,4.5288848876953125
5120,65536,160.49876475334167,7.605268955230713
10240,65536,332.87546610832214,49.0203652381897
