File Size (MB),Buffer Size (bytes),Write Time (seconds),Read Time (seconds)
10,8192,0.053548336029052734,0.006111860275268555
50,8192,0.11410212516784668,0.027714967727661133
100,8192,0.201995849609375,0.051055908203125
500,8192,0.8503620624542236,0.2505319118499756
1024,8192,1.715289831161499,0.4703366756439209
3072,8192,6.4637770652771,1.3490417003631592
5120,8192,81.07420134544373,2.2498788833618164
10240,8192,256.36639618873596,37.49802279472351
10,16384,0.017962932586669922,0.0038309097290039062
50,16384,0.09672403335571289,0.02076101303100586
100,16384,0.20298361778259277,0.03656768798828125
500,16384,0.8473670482635498,0.16954493522644043
1024,16384,1.704864501953125,0.33748841285705566
3072,16384,23.72390842437744,0.9753134250640869
5120,16384,112.52236318588257,1.6241521835327148
10240,16384,325.7895083427429,51.42955684661865
10,32768,0.010459661483764648,0.004129171371459961
50,32768,0.0961294174194336,0.014257192611694336
100,32768,0.2036914825439453,0.02551102638244629
500,32768,0.8578989505767822,0.12583327293395996
1024,32768,1.7150185108184814,0.25692176818847656
3072,32768,26.916584253311157,0.7258541584014893
5120,32768,105.59371066093445,1.187300205230713
10240,32768,361.6809766292572,47.14143347740173
10,65536,0.010468482971191406,0.0031337738037109375
50,65536,0.09834885597229004,0.011945486068725586
100,65536,0.20220661163330078,0.02183365821838379
500,65536,0.8543298244476318,0.10487699508666992
1024,65536,1.7109808921813965,0.21171236038208008
3072,65536,36.51548504829407,0.595787763595581
5120,65536,161.07663679122925,0.9950575828552246
10240,65536,376.6642005443573,55.20538640022278
