File Size (MB),Buffer Size (bytes),Write Time (seconds),Read Time (seconds)
10,8192,0.020027875900268555,0.006606340408325195
50,8192,0.11736845970153809,0.032865285873413086
100,8192,0.19258570671081543,0.050757646560668945
500,8192,0.8364448547363281,0.24604153633117676
1024,8192,1.6880624294281006,0.48134946823120117
3072,8192,6.684054136276245,1.3774220943450928
5120,8192,116.01005101203918,2.256402015686035
10240,8192,219.99478220939636,32.5360541343689
10,16384,0.016395092010498047,0.003465890884399414
50,16384,0.08464813232421875,0.01666426658630371
100,16384,0.17179274559020996,0.03160667419433594
500,16384,0.8205270767211914,0.1543416976928711
1024,16384,1.6711220741271973,0.3197453022003174
3072,16384,38.90823578834534,0.9597914218902588
5120,16384,129.1808578968048,1.6240801811218262
10240,16384,267.1630012989044,47.06824827194214
10,32768,0.009625911712646484,0.003345012664794922
50,32768,0.0965738296508789,0.015195608139038086
100,32768,0.20566964149475098,0.029514551162719727
500,32768,0.8584473133087158,0.12456226348876953
1024,32768,1.7014849185943604,0.2548820972442627
3072,32768,27.487849235534668,0.726477861404419
5120,32768,117.53474473953247,1.2028539180755615
10240,32768,263.8061099052429,50.517383337020874
10,65536,0.009463071823120117,0.0024261474609375
50,65536,0.09916472434997559,0.011827707290649414
100,65536,0.20069456100463867,0.022148847579956055
500,65536,0.8494493961334229,0.10366225242614746
1024,65536,1.7086634635925293,0.2126145362854004
3072,65536,34.78062915802002,0.5937116146087646
5120,65536,115.3801748752594,0.9912803173065186
10240,65536,317.5758762359619,47.207982540130615
