File Size (MB),Buffer Size (bytes),Write Time (seconds),Read Time (seconds)
10,8192,0.027918577194213867,0.09274792671203613
50,8192,0.24962806701660156,0.27530550956726074
100,8192,0.6516354084014893,0.7468016147613525
500,8192,3.1384639739990234,2.314864158630371
1024,8192,7.130699396133423,4.637588977813721
3072,8192,54.95968985557556,13.797160625457764
5120,8192,96.22159314155579,23.101262092590332
10240,8192,369.30253052711487,59.216055154800415
10,16384,0.025931119918823242,0.08980011940002441
50,16384,0.31047558784484863,0.16455340385437012
100,16384,0.6665804386138916,0.3241751194000244
500,16384,6.289860963821411,1.7148561477661133
1024,16384,19.981350898742676,2.900242567062378
3072,16384,68.38833260536194,8.861638307571411
5120,16384,108.59099578857422,14.346652269363403
10240,16384,279.9178624153137,57.11845564842224
10,32768,0.03092813491821289,0.08577275276184082
50,32768,5.354040145874023,0.14359378814697266
100,32768,4.161431789398193,0.24036335945129395
500,32768,14.844454288482666,1.1429851055145264
1024,32768,25.21744132041931,1.9886467456817627
3072,32768,58.33423209190369,5.884281873703003
5120,32768,129.83693599700928,9.859639883041382
10240,32768,265.96705055236816,63.53703546524048
10,65536,0.030874252319335938,0.07584261894226074
50,65536,1.161865472793579,0.13264036178588867
100,65536,4.048446178436279,0.19452452659606934
500,65536,5.223130464553833,0.7929186820983887
1024,65536,7.245169639587402,1.5219347476959229
3072,65536,77.9812536239624,4.528845548629761
5120,65536,114.18957209587097,7.472026824951172
10240,65536,305.8154397010803,71.29133868217468
